n,score
1580,32028
1581,35592
1582,59928
1583,23380
1584,11900
1585,34620
1586,36036
1587,12448
1588,34284
1589,30392
1590,7160
1591,47508
1592,32876
1593,36084
1594,36344
1595,50436
1596,35888
1597,31504
1598,5544
1599,32188
1600,36216
1601,36092
1602,35960
1603,25860
1604,32420
1605,35700
1606,59092
1607,36584
1608,32528
1609,34504
1610,9728
1611,30560
1612,35028
1613,36136
1614,9680
1615,22768
1616,21608
1617,24776
1618,34488
1619,35864
1620,58076
1621,27120
1622,32392
1623,32176
1624,56596
1625,27480
1626,26872
1627,34756
1628,36680
1629,62740
1630,6908
1631,23496
1632,3504
1633,35400
1634,35928
1635,35620
1636,7308
1637,34660
1638,32260
1639,27392
1640,32480
1641,33920
1642,35208
1643,26868
1644,35592
1645,35704
1646,27296
1647,34148
1648,36572
1649,35976
1650,36496
1651,34420
1652,26740
1653,23520
1654,33900
1655,36060
1656,35312
1657,53964
1658,41412
1659,26924
1660,16120
1661,3292
1662,36308
1663,33512
1664,34532
1665,35432
1666,34064
1667,13712
1668,13416
1669,15428
1670,51348
1671,36080
1672,58872
1673,15820
1674,41332
1675,16224
1676,25480
1677,35632
1678,32248
1679,32172
1680,16040
1681,16152
1682,35076
1683,14424
1684,58452
1685,36516
1686,30452
1687,34044
1688,59724
1689,18368
1690,16004
1691,51524
1692,38456
1693,30000
1694,13760
1695,36232
1696,31028
1697,36084
1698,49340
1699,23360
1700,13356
1701,35560
1702,40096
1703,27412
1704,14492
1705,23192
1706,27864
1707,31108
1708,35872
1709,59104
1710,7312
1711,26584
1712,54572
1713,22056
1714,34132
1715,35780
1716,14672
1717,34020
1718,36092
1719,34668
1720,55420
1721,26452
1722,52324
1723,35428
1724,29856
1725,35344
1726,32520
1727,32048
1728,35132
1729,35440
1730,60752
1731,49716
1732,18356
1733,40656
1734,29668
1735,33048
1736,27024
1737,35452
1738,31276
1739,32200
1740,40828
1741,30860
1742,15900
1743,30228
1744,60096
1745,36196
1746,44912
1747,15104
1748,37044
1749,29748
1750,16828
1751,36604
1752,35368
1753,35576
1754,15788
1755,14408
1756,35544
1757,31656
1758,33436
1759,35264
1760,35640
1761,16440
1762,33072
1763,28292
1764,35096
1765,22712
1766,27144
1767,34760
1768,34340
1769,33340
1770,55328
1771,45792
1772,3148
1773,36556
1774,35464
1775,34352
1776,32028
1777,40592
1778,27120
1779,34428
1780,32484
1781,43840
1782,32108
1783,32652
1784,26996
1785,33800
1786,27264
1787,33124
1788,5584
1789,58552
1790,6000
1791,25456
1792,34364
1793,34812
1794,36172
